id,Hora,Uso_CPU,Memoria_total,Memoria_usada,Procesos,Discos,Internet
11,2025-04-12 02:17:23,CPU 1: 39.14% | CPU 2: 23.52% | CPU 3: 35.35% | CPU 4: 26.36% | CPU 5: 35.43% | CPU 6: 22.59% | CPU 7: 39.87% | CPU 8: 25.92%,16221.05 MB,9533.52 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 426.06 MB) | [14588] Code.exe (Mem: 409.50 MB) | [8272] explorer.exe (Mem: 339.06 MB) | [6948] brave.exe (Mem: 323.05 MB),[D:\][Tipo: HDD] Lectura: 23775.84 MB | Escritura: 89652.88 MB | [C:\][Tipo: SSD] Lectura: 16337.84 MB | Escritura: 22527.23 MB,Wi-Fi: 0.18 Mbps (down) / 0.46 Mbps (up)
12,2025-04-12 02:22:29,CPU 1: 39.23% | CPU 2: 21.63% | CPU 3: 35.36% | CPU 4: 24.42% | CPU 5: 36.89% | CPU 6: 21.75% | CPU 7: 38.28% | CPU 8: 23.49%,16221.05 MB,9460.97 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 430.12 MB) | [14588] Code.exe (Mem: 409.52 MB) | [8272] explorer.exe (Mem: 339.11 MB) | [6948] brave.exe (Mem: 320.87 MB),[D:\][Tipo: HDD] Lectura: 23775.99 MB | Escritura: 89654.47 MB | [C:\][Tipo: SSD] Lectura: 16344.12 MB | Escritura: 22555.80 MB,Wi-Fi: 0.16 Mbps (down) / 0.45 Mbps (up)
13,2025-04-12 02:27:36,CPU 1: 39.92% | CPU 2: 24.78% | CPU 3: 39.07% | CPU 4: 26.75% | CPU 5: 37.04% | CPU 6: 22.79% | CPU 7: 40.48% | CPU 8: 24.69%,16221.05 MB,9350.72 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 449.69 MB) | [14588] Code.exe (Mem: 410.02 MB) | [8272] explorer.exe (Mem: 335.38 MB) | [6948] brave.exe (Mem: 320.39 MB),[D:\][Tipo: HDD] Lectura: 23775.99 MB | Escritura: 89655.28 MB | [C:\][Tipo: SSD] Lectura: 16346.20 MB | Escritura: 22572.68 MB,Wi-Fi: 0.16 Mbps (down) / 0.47 Mbps (up)
14,2025-04-12 02:32:44,CPU 1: 42.68% | CPU 2: 25.22% | CPU 3: 37.88% | CPU 4: 27.60% | CPU 5: 39.47% | CPU 6: 24.71% | CPU 7: 44.37% | CPU 8: 24.65%,16221.05 MB,9528.93 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 567.18 MB) | [14588] Code.exe (Mem: 417.89 MB) | [8272] explorer.exe (Mem: 335.46 MB) | [6948] brave.exe (Mem: 323.16 MB),[D:\][Tipo: HDD] Lectura: 23776.08 MB | Escritura: 89657.21 MB | [C:\][Tipo: SSD] Lectura: 16411.19 MB | Escritura: 22610.84 MB,Wi-Fi: 0.09 Mbps (down) / 0.46 Mbps (up)
15,2025-04-12 02:37:51,CPU 1: 40.85% | CPU 2: 24.81% | CPU 3: 36.44% | CPU 4: 24.81% | CPU 5: 37.24% | CPU 6: 24.48% | CPU 7: 42.79% | CPU 8: 24.71%,16221.05 MB,9588.81 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 566.62 MB) | [14588] Code.exe (Mem: 418.23 MB) | [8272] explorer.exe (Mem: 336.44 MB) | [6948] brave.exe (Mem: 321.57 MB),[D:\][Tipo: HDD] Lectura: 23778.79 MB | Escritura: 89660.76 MB | [C:\][Tipo: SSD] Lectura: 16411.90 MB | Escritura: 22646.21 MB,Wi-Fi: 0.05 Mbps (down) / 0.46 Mbps (up)
16,2025-04-12 02:42:58,CPU 1: 38.89% | CPU 2: 21.38% | CPU 3: 33.73% | CPU 4: 24.03% | CPU 5: 34.29% | CPU 6: 24.96% | CPU 7: 45.18% | CPU 8: 23.35%,16221.05 MB,9437.09 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 457.77 MB) | [14588] Code.exe (Mem: 418.18 MB) | [8272] explorer.exe (Mem: 336.68 MB) | [6948] brave.exe (Mem: 321.21 MB),[D:\][Tipo: HDD] Lectura: 23778.79 MB | Escritura: 89661.15 MB | [C:\][Tipo: SSD] Lectura: 16412.02 MB | Escritura: 22659.21 MB,Wi-Fi: 0.05 Mbps (down) / 0.47 Mbps (up)
17,2025-04-12 02:48:05,CPU 1: 41.25% | CPU 2: 25.86% | CPU 3: 35.28% | CPU 4: 27.50% | CPU 5: 38.04% | CPU 6: 25.97% | CPU 7: 43.91% | CPU 8: 26.71%,16221.05 MB,9490.68 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 462.90 MB) | [14588] Code.exe (Mem: 420.69 MB) | [8272] explorer.exe (Mem: 336.39 MB) | [6948] brave.exe (Mem: 321.35 MB),[D:\][Tipo: HDD] Lectura: 23779.08 MB | Escritura: 89661.61 MB | [C:\][Tipo: SSD] Lectura: 16412.23 MB | Escritura: 22672.97 MB,Wi-Fi: 0.06 Mbps (down) / 0.45 Mbps (up)
18,2025-04-12 02:53:11,CPU 1: 39.11% | CPU 2: 22.57% | CPU 3: 34.72% | CPU 4: 26.53% | CPU 5: 35.54% | CPU 6: 24.89% | CPU 7: 43.24% | CPU 8: 25.09%,16221.05 MB,9449.73 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 485.65 MB) | [14588] Code.exe (Mem: 420.71 MB) | [8272] explorer.exe (Mem: 336.44 MB) | [6948] brave.exe (Mem: 321.19 MB),[D:\][Tipo: HDD] Lectura: 23779.08 MB | Escritura: 89661.95 MB | [C:\][Tipo: SSD] Lectura: 16412.71 MB | Escritura: 22698.35 MB,Wi-Fi: 0.06 Mbps (down) / 0.45 Mbps (up)
19,2025-04-12 02:58:18,CPU 1: 39.85% | CPU 2: 21.74% | CPU 3: 32.59% | CPU 4: 25.26% | CPU 5: 34.88% | CPU 6: 25.28% | CPU 7: 43.97% | CPU 8: 23.61%,16221.05 MB,9402.22 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 475.87 MB) | [14588] Code.exe (Mem: 421.03 MB) | [8272] explorer.exe (Mem: 335.57 MB) | [6948] brave.exe (Mem: 321.44 MB),[D:\][Tipo: HDD] Lectura: 23779.08 MB | Escritura: 89662.40 MB | [C:\][Tipo: SSD] Lectura: 16412.78 MB | Escritura: 22711.08 MB,Wi-Fi: 0.06 Mbps (down) / 0.47 Mbps (up)
20,2025-04-12 03:03:26,CPU 1: 39.38% | CPU 2: 22.97% | CPU 3: 35.25% | CPU 4: 26.51% | CPU 5: 35.79% | CPU 6: 23.04% | CPU 7: 40.59% | CPU 8: 23.68%,16221.05 MB,9478.34 MB,[7556] rust-analyzer.exe (Mem: 1617.23 MB) | [17172] brave.exe (Mem: 474.71 MB) | [14588] Code.exe (Mem: 433.20 MB) | [8272] explorer.exe (Mem: 335.61 MB) | [6948] brave.exe (Mem: 321.27 MB),[D:\][Tipo: HDD] Lectura: 23787.13 MB | Escritura: 89662.93 MB | [C:\][Tipo: SSD] Lectura: 16413.97 MB | Escritura: 22728.38 MB,Wi-Fi: 0.06 Mbps (down) / 0.48 Mbps (up)
